Month,January,February,March,April,May,June,July,August,September,October,November,December
2005,71,72,64,56,57,53,66,71,65,60,65,59
2006,70,72,67,54,56,55,61,63,50,51,60,58
2007,74,82,74,59,56,63,69,80,64,62,64,65
2008,72,81,66,59,61,60,65,68,61,53,57,64
2009,69,74,64,54,51,41,62,68,59,56,59,64
2010,75,75,74,57,64,64,79,87,82,62,64,65
2011,75,87,76,59,58,56,74,83,78,67,72,76
2012,86,90,89,69,61,72,79,65,86,79,84,88
2013,87,91,88,69,59,67,75,85,74,60,72,75
2014,84,92,88,72,67,77,67,76,74,75,74,58
2015,78,83,82,65,66,76,77,85,79,71,76,79
